Thématique;Sous-thème;mot;noyau;genre;mot en chinois;phrases françaises;phrases chinoises;tag;
faire;aide;assistance;;f.;??;J'ai besoin d'une assistance.;????????;besoin/assistance;
faire;aide;protéger;1;v.;??;Il s’est protégé contre des temps difficiles.;??????????;seprotéger/temps/difficile;
faire;aide;protection;1;f.;??;Il lui a offert sa protection.;????????;offrir/protection;
faire;évoluer;évoluer;0;v.;??  /  ??;Ce système politique a beaucoup évolué ces dernières années.;?????????????????;système/politique/évoluer/dernière/année;
faire;évoluer;évolution;1;f.;??  /  ??;L’évolution du chiffre d’affaires est nette.;?????????;évolution/chiffre/affairenette;
faire;évoluer;progrès;1;m.;??;Ces progrès sont considérables.;?????????;progrès/considérable;
faire;évoluer;progresser;1;v.;??;Il a progressé énormément depuis deux ans.;?????????;progresser/énormément/an;
faire;évoluer;développer;1;v.;??;Elle a développé un style très original.;????????????;développer/style/original;
faire;évoluer;développement;1;m.;??;Quel est leur stade de développement ?;??????????;stade/développement;
faire;vouloir;vouloir;0;v.;??;Je veux vraiment le lui dire.;????????;vraiment/vouloir/dire;
faire;vouloir;volonté;1;f.;??;Elle a une forte volonté.;???????;forte/volonté;
faire;vouloir;nécessaire;1;adj.;???;Il est nécessaire de coopérer.;???????;nécessaire/coopérer;
faire;vouloir;besoin;1;m.;??;Elle n’a pas besoin d’encouragement pour continuer.;????????????;besoin/encouragement/continuer;
faire;représenter;représenter;0;v.;??;Elle représente sa société dans ce pays.;?????????????;représenter/société/pays;
faire;représenter;équivaloir;1;v.;???;Cela équivaut à un véritable succès.;???????;équivaloir/véritable/succès;
faire;pour;méthode;1;f.;??;Quelle est la bonne méthode pour avancer ?;??????????;méthode/avancer;
faire;pour;moyen;1;m.;??;Je ne connais pas de moyens afin de les aider.;???????????;connaître/moyen/aider;
faire;industrie;industrie;0;f.;??;L'industrie s'est beaucoup développée dans cette région.;??????????;industrie/développé/région;
faire;industrie;industriel, lle;1;adj./n.;???/;Leur activité industrielle emploie beaucoup d'ouvriers.;???????????????;industriel/concerner/hausse/prix;
faire;industrie;usine;1;f.;??;L’usine a été entièrement reconstruite.;????????;usine/entièrement/reconstruite;
faire;industrie;ouvrier, ère;1;adj./n.;??;Combien d’ouvriers travaillent dans cette usine ?;?????????????;ouvrier/travailler/usine;
faire;agriculture;agriculture;0;f.;??;Ce pays a une agriculture très développée.;???????????;pays/agriculture/développé;
faire;agriculture;agriculteur, rice;1;m.;??;Les agriculteurs se lèvent généralement très tôt.;?????????;agriculteur/selever/tôt;
faire;agriculture;agricole;1;adj.;???;C'est une grande exploitation agricole (= une ferme).;?????????;exploitation/agricole;
faire;agriculture;paysan, ne;1;adj./n.;??;Ses parents sont des paysans.;????????;parent/paysan;
faire;agriculture;champ;1;m.;? / ??;Il travaille dans le champ toute la journée.;?????????;travailler/champ/journée;
faire;agriculture;ferme;1;f.;??;Ils habitent dans une ferme loin de tout.;????????????;habiter/ferme;
faire;agriculture;tracteur;1;m.;???;Elle a conduit le tracteur toute seule.;?????????;conduire/tracteur/seule;
